query_id,query_text,execution_time_ms,status,documents_returned,timestamp
1,db.alerts.find({}),65,success,1000,2025-05-31T22:07:25Z
2,db.alerts.find({}).sort({ timestamp: -1 }).limit(100),706,success,100,2025-05-31T22:07:26Z
3,"db.houses.aggregate([{$match: {city: """"Cluj""""}}])",38,success,1000,2025-05-31T22:07:26Z
4,db.alerts.countDocuments({}),94,success,250000,2025-05-31T22:07:26Z
5,"db.appliances.distinct(""""type"""")",7,success,10,2025-05-31T22:07:26Z
6,db.houses.find().limit(10),4,success,10,2025-05-31T22:07:26Z
7,"db.contracts.find({ """"supplier_id"""": 10 })",38,success,1000,2025-05-31T22:07:26Z
8,"db.weather_conditions.find({location: """"Cluj""""}).limit(5)",6,success,5,2025-05-31T22:07:26Z
9,db.users.aggregate([{ $sample: { size: 1 }}]),44,success,1000,2025-05-31T22:07:26Z
10,db.appliances.countDocuments({}),4,success,100,2025-05-31T22:07:26Z
11,db.houses.find({built_year: { $gt: 2010 }}),29,success,1000,2025-05-31T22:07:26Z
12,"db.houses.aggregate([{ $match: { built_year: { $gt: 2015 } } }, { $sort: { area_sqm: -1 } }])",28,success,1000,2025-05-31T22:07:26Z
13,"db.appliances.aggregate([{ $project: { name: 1, brand: 1, _id: 0 }}])",7,success,100,2025-05-31T22:07:26Z
14,"db.houses.aggregate([{ $sort: { area_sqm: -1 }},{ $limit: 5 }])",28,success,1000,2025-05-31T22:07:26Z
15,"db.users.aggregate([{ $match: { birthdate: { $gt: ISODate(""""1990-01-01T00:00:00Z"""") } } }, { $project: { name: 1, email: 1 } }])",35,success,1000,2025-05-31T22:07:26Z
16,"db.contracts.aggregate([{ $sort: { supplier_id: 1 }},{ $limit: 5 }])",32,success,1000,2025-05-31T22:07:26Z
17,"db.energy_readings.aggregate([{ $match: { generation_kwh: { $gt: 2.0 }}},{ $limit: 10 }])",75,success,1000,2025-05-31T22:07:26Z
18,"db.houses.aggregate([{ $group: { _id: """"$city"""" } }, { $limit: 5 }])",30,success,1000,2025-05-31T22:07:26Z
19,"db.energy_readings.aggregate([{ $project: { total_use_kwh: 1, timestamp: 1 }},{ $limit: 5 }])",72,success,1000,2025-05-31T22:07:26Z
20,"db.alerts.aggregate([{ $match: { value: { $gt: 6 }}},{ $sort: { value: -1 }},{ $limit: 5 }])",39,success,1000,2025-05-31T22:07:26Z
21,"db.energy_readings.aggregate([{ $match: { total_use_kwh: { $gte: 1, $lte: 2 }}},{ $limit: 10 }])",73,success,1000,2025-05-31T22:07:26Z
22,"db.energy_readings.aggregate([{ $group: { _id: """"$house_id"""", total_use: { $sum: """"$total_use_kwh"""" } } }])",76,success,1000,2025-05-31T22:07:26Z
23,"db.weather_conditions.aggregate([{ $group: { _id: { location: """"$location"""", day: { $dayOfYear: """"$timestamp"""" } }, avg_temp: { $avg: """"$temperature_celsius"""" } } }])",35,success,1000,2025-05-31T22:07:27Z
24,"db.energy_readings.aggregate([{ $lookup: { from: """"houses"""", localField: """"house_id"""", foreignField: """"_id"""", as: """"house_info"""" } }, { $limit: 10 }])",73,success,1000,2025-05-31T22:07:27Z
25,"db.contracts.aggregate([{ $group: { _id: """"$supplier_id"""", count: { $sum: 1 } } }])",30,success,1000,2025-05-31T22:07:27Z
26,"db.maintenance_logs.aggregate([{ $group: { _id: """"$appliance_id"""", total_cost: { $sum: """"$cost"""" } } }])",36,success,1000,2025-05-31T22:07:27Z
27,"db.energy_readings.aggregate([{ $setWindowFields: { partitionBy: """"$house_id"""", sortBy: { timestamp: 1 }, output: { delta: { $derivative: { input: """"$total_use_kwh"""", unit: """"hour"""" }, window: { docum...",72,success,1000,2025-05-31T22:07:27Z
28,"db.alerts.aggregate([{$lookup: { from: """"houses"""", localField: """"house_id"""", foreignField: """"_id"""", as: """"house_info""""}},{ $sort: { value: -1 }},{ $limit: 10 }])",47,success,1000,2025-05-31T22:07:27Z
29,"db.energy_readings.aggregate([{ $group: { _id: { month: { $month: """"$timestamp"""" } }, total_usage: { $sum: """"$total_use_kwh"""" } } }])",67,success,1000,2025-05-31T22:07:27Z
30,"db.energy_readings.aggregate([{ $unwind: """"$appliance_usages"""" }, { $group: { _id: """"$appliance_usages.appliance_id"""", total: { $sum: """"$appliance_usages.usage_kwh"""" } } }, { $sort: { total: -1 } }, {...",70,success,1000,2025-05-31T22:07:27Z
