query_id,index_status,query_text,execution_time_ms,status,documents_returned,error_message,timestamp
1,with_index,db.alerts.find({}),7597,success,250000,,2025-06-22T18:50:35Z
2,with_index,db.alerts.find({}).sort({timestamp:-1}).limit(100),13,success,100,,2025-06-22T18:50:43Z
3,with_index,"db.houses.aggregate([{$match:{city:""""Cluj""""}}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:43Z
4,with_index,db.alerts.countDocuments({}),211,success,250000,,2025-06-22T18:50:43Z
5,with_index,"db.appliances.distinct(""""type"""")",7,success,10,,2025-06-22T18:50:43Z
6,with_index,db.houses.find().limit(10),6,success,10,,2025-06-22T18:50:44Z
7,with_index,"db.contracts.find({""""supplier_id"""":10})",598,success,20000,,2025-06-22T18:50:44Z
8,with_index,"db.weather_conditions.find({location:""""Cluj""""}).limit(5)",8,success,5,,2025-06-22T18:50:45Z
9,with_index,db.users.aggregate([{$sample:{size:1}}]),43,success,1,,2025-06-22T18:50:45Z
10,with_index,db.appliances.countDocuments({}),5,success,100,,2025-06-22T18:50:45Z
11,with_index,db.houses.find({built_year:{$gt:2010}}),72,success,2788,,2025-06-22T18:50:45Z
12,with_index,"db.houses.aggregate([{$match:{built_year:{$gt:2015}}},{$sort:{area_sqm:-1}}])",60,success,1627,,2025-06-22T18:50:46Z
13,with_index,"db.appliances.aggregate([{$project:{name:1,brand:1,_id:0}}])",9,success,100,,2025-06-22T18:50:46Z
14,with_index,"db.houses.aggregate([{$sort:{area_sqm:-1}},{$limit:5}])",16,success,5,,2025-06-22T18:50:46Z
15,with_index,"db.users.aggregate([{$match:{birthdate:{$gt:ISODate(""""1990-01-01T00:00:00Z"""")",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:46Z
16,with_index,"db.contracts.aggregate([{$sort:{supplier_id:1}},{$limit:5}])",38,success,5,,2025-06-22T18:50:46Z
17,with_index,"db.energy_readings.aggregate([{$match:{generation_kwh:{$gt:2.0}}},{$limit:10}])",18,success,10,,2025-06-22T18:50:46Z
18,with_index,"db.houses.aggregate([{$group:{_id:""""$city""""}},{$limit:5}])",3,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:46Z
19,with_index,"db.energy_readings.aggregate([{$project:{total_use_kwh:1,timestamp:1}},{$limit:5}])",10,success,5,,2025-06-22T18:50:46Z
20,with_index,"db.alerts.aggregate([{$match:{value:{$gt:6}}},{$sort:{value:-1}},{$limit:5}])",206,success,5,,2025-06-22T18:50:47Z
21,with_index,"db.energy_readings.aggregate([{$match:{total_use_kwh:{$gte:1,$lte:2}}},{$limit:10}])",11,success,10,,2025-06-22T18:50:47Z
22,with_index,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",total_use:{$sum:""""$total_use_kwh""""}}}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:47Z
23,with_index,"db.weather_conditions.aggregate([{$group:{_id:{location:""""$location"""",day:{$dayOfYear:""""$timestamp""""}},avg_temp:{$avg:""""$temperature_celsius""""}}}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:47Z
24,with_index,"db.energy_readings.aggregate([{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""_id"""",as:""""house_info""""}},{$limit:10}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:47Z
25,with_index,"db.contracts.aggregate([{$group:{_id:""""$supplier_id"""",count:{$sum:1}}}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:47Z
26,with_index,"db.maintenance_logs.aggregate([{$group:{_id:""""$appliance_id"""",total_cost:{$sum:""""$cost""""}}}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:48Z
27,with_index,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{delta:{$derivative:{input:""""$total_use_kwh"""",unit:""""hour""""},window:{documents:[-1,0]}}}}},{$limi...",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:48Z
28,with_index,"db.alerts.aggregate([{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""_id"""",as:""""house_info""""}},{$sort:{value:-1}},{$limit:10}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:48Z
29,with_index,"db.energy_readings.aggregate([{$group:{_id:{month:{$month:""""$timestamp""""}},total_usage:{$sum:""""$total_use_kwh""""}}}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:48Z
30,with_index,"db.energy_readings.aggregate([{$unwind:""""$appliance_usages""""},{$group:{_id:""""$appliance_usages.appliance_id"""",total:{$sum:""""$appliance_usages.usage_kwh""""}}},{$sort:{total:-1}},{$limit:5}])",4,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:48Z
31,with_index,"db.energy_readings.aggregate([{$unwind:""""$appliance_usages""""},{$group:{_id:""""$appliance_usages.appliance_id"""",total:{$sum:""""$appliance_usages.usage_kwh""""}}},{$sort:{total:-1}},{$limit:5}])",5,error,0,Eroare la aggregate: pipeline must be a list,2025-06-22T18:50:48Z
