query_id,query_text,execution_time_ms,status,documents_returned,timestamp
1,db.alerts.find({}),71,success,1000,2025-06-22T17:34:16Z
2,db.alerts.find({}).sort({ timestamp: -1 }).limit(100),22,success,100,2025-06-22T17:34:16Z
3,"db.houses.aggregate([{$match: {city: """"Cluj""""}}])",35,success,1000,2025-06-22T17:34:16Z
4,db.alerts.countDocuments({}),251,success,250000,2025-06-22T17:34:17Z
5,"db.appliances.distinct(""""type"""")",11,success,10,2025-06-22T17:34:17Z
6,db.houses.find().limit(10),7,success,10,2025-06-22T17:34:17Z
7,"db.contracts.find({ """"supplier_id"""": 10 })",42,success,1000,2025-06-22T17:34:17Z
8,"db.weather_conditions.find({location: """"Cluj""""}).limit(5)",5,success,5,2025-06-22T17:34:17Z
9,db.users.aggregate([{ $sample: { size: 1 }}]),87,success,1000,2025-06-22T17:34:17Z
10,db.appliances.countDocuments({}),6,success,100,2025-06-22T17:34:17Z
11,db.houses.find({built_year: { $gt: 2010 }}),33,success,1000,2025-06-22T17:34:17Z
12,"db.houses.aggregate([{ $match: { built_year: { $gt: 2015 } } }, { $sort: { area_sqm: -1 } }])",36,success,1000,2025-06-22T17:34:17Z
13,"db.appliances.aggregate([{ $project: { name: 1, brand: 1, _id: 0 }}])",8,success,100,2025-06-22T17:34:17Z
14,"db.houses.aggregate([{ $sort: { area_sqm: -1 }},{ $limit: 5 }])",33,success,1000,2025-06-22T17:34:17Z
15,"db.users.aggregate([{ $match: { birthdate: { $gt: ISODate(""""1990-01-01T00:00:00Z"""") } } }, { $project: { name: 1, email: 1 } }])",43,success,1000,2025-06-22T17:34:17Z
16,"db.contracts.aggregate([{ $sort: { supplier_id: 1 }},{ $limit: 5 }])",43,success,1000,2025-06-22T17:34:17Z
17,"db.energy_readings.aggregate([{ $match: { generation_kwh: { $gt: 2.0 }}},{ $limit: 10 }])",105,success,1000,2025-06-22T17:34:17Z
18,"db.houses.aggregate([{ $group: { _id: """"$city"""" } }, { $limit: 5 }])",34,success,1000,2025-06-22T17:34:17Z
19,"db.energy_readings.aggregate([{ $project: { total_use_kwh: 1, timestamp: 1 }},{ $limit: 5 }])",88,success,1000,2025-06-22T17:34:17Z
20,"db.alerts.aggregate([{ $match: { value: { $gt: 6 }}},{ $sort: { value: -1 }},{ $limit: 5 }])",52,success,1000,2025-06-22T17:34:17Z
