query_id,query_text,execution_time_ms,status,documents_returned,timestamp
1,db.alerts.find({}),75,success,1000,2025-05-17T20:56:33Z
2,db.alerts.find({}).sort({ timestamp: -1 }).limit(100),232,success,100,2025-05-17T20:56:33Z
4,db.alerts.countDocuments({}),115,success,250000,2025-05-17T20:56:33Z
6,db.houses.find().limit(10),6,success,10,2025-05-17T20:56:33Z
9,db.users.aggregate([{ $sample: { size: 1 }}]),95,success,1000,2025-05-17T20:56:33Z
10,db.appliances.countDocuments({}),6,success,100,2025-05-17T20:56:33Z
11,db.houses.find({built_year: { $gt: 2010 }}),33,success,1000,2025-05-17T20:56:33Z
97,db.maintenance_logs.findOne({appliance_id: {$exists: true}}),12,success,1,2025-05-17T20:56:39Z
98,db.appliances.findOne({id: {$exists: true}}),14,success,1,2025-05-17T20:56:39Z
107,db.energy_readings.find({ total_use_kwh: { $gt: 6 } }).limit(100),32,success,100,2025-05-17T20:56:40Z
