query_id,documents_returned_x,exec_time_index,documents_returned_y,exec_time_no_index,diff_ms,pct_impr
1,1000,161,1000,66,-95,-143.93939393939394
2,100,18,100,225,207,92.0
3,1000,37,1000,38,1,2.631578947368421
4,250000,146,250000,136,-10,-7.352941176470589
5,10,8,10,7,-1,-14.285714285714285
6,10,7,10,6,-1,-16.666666666666664
7,1000,43,1000,43,0,0.0
8,5,7,5,6,-1,-16.666666666666664
9,1000,46,1000,46,0,0.0
10,100,6,100,7,1,14.285714285714285
11,1000,35,1000,34,-1,-2.941176470588235
12,1000,38,1000,37,-1,-2.7027027027027026
13,100,9,100,9,0,0.0
14,1000,35,1000,37,2,5.405405405405405
15,1000,47,1000,46,-1,-2.1739130434782608
16,1000,44,1000,42,-2,-4.761904761904762
17,1000,87,1000,98,11,11.224489795918368
18,1000,36,1000,39,3,7.6923076923076925
19,1000,86,1000,91,5,5.4945054945054945
20,1000,52,1000,46,-6,-13.043478260869565
21,1000,86,1000,87,1,1.1494252873563218
22,1000,84,1000,87,3,3.4482758620689653
23,1000,44,1000,46,2,4.3478260869565215
24,1000,84,1000,91,7,7.6923076923076925
25,1000,45,1000,47,2,4.25531914893617
26,1000,45,1000,42,-3,-7.142857142857142
27,1000,82,1000,89,7,7.865168539325842
28,1000,49,1000,50,1,2.0
29,1000,81,1000,87,6,6.896551724137931
30,1000,85,1000,87,2,2.2988505747126435
31,1000,79,1000,88,9,10.227272727272728
32,1000,89,1000,187,98,52.406417112299465
33,1000,40,1000,43,3,6.976744186046512
34,1000,47,1000,45,-2,-4.444444444444445
35,100,8,100,8,0,0.0
36,1000,83,1000,82,-1,-1.2195121951219512
37,1000,91,1000,83,-8,-9.63855421686747
38,1000,32,1000,33,1,3.0303030303030303
39,1000,84,1000,82,-2,-2.4390243902439024
40,1000,35,1000,37,2,5.405405405405405
41,1000,89,1000,80,-9,-11.25
42,1000,84,1000,79,-5,-6.329113924050633
43,20,6,20,7,1,14.285714285714285
44,1000,85,1000,81,-4,-4.938271604938271
45,1000,84,1000,90,6,6.666666666666667
46,1000,47,1000,49,2,4.081632653061225
47,1000,84,1000,84,0,0.0
48,1000,79,1000,84,5,5.952380952380952
49,1000,82,1000,90,8,8.88888888888889
50,1000,91,1000,82,-9,-10.975609756097562
51,1000,105,1000,84,-21,-25.0
52,1000,83,1000,81,-2,-2.4691358024691357
53,1000,81,1000,87,6,6.896551724137931
54,1000,84,1000,83,-1,-1.2048192771084338
55,1000,37,1000,43,6,13.953488372093023
56,1000,39,1000,42,3,7.142857142857142
57,1000,39,1000,40,1,2.5
58,1000,83,1000,84,1,1.1904761904761905
59,1000,114,1000,42,-72,-171.42857142857142
60,1000,84,1000,87,3,3.4482758620689653
61,1000,86,1000,84,-2,-2.380952380952381
62,100,10,100,9,-1,-11.11111111111111
63,1000,83,1000,81,-2,-2.4691358024691357
64,1000,36,1000,35,-1,-2.857142857142857
65,1000,43,1000,44,1,2.272727272727273
66,1000,45,1000,45,0,0.0
67,1000,85,1000,82,-3,-3.6585365853658534
68,1000,45,1000,41,-4,-9.75609756097561
69,1000,85,1000,84,-1,-1.1904761904761905
70,1000,87,1000,77,-10,-12.987012987012985
71,1000,85,1000,82,-3,-3.6585365853658534
72,1000,37,1000,39,2,5.128205128205128
73,1000,90,1000,85,-5,-5.88235294117647
74,1000,86,1000,82,-4,-4.878048780487805
75,1000,95,1000,83,-12,-14.457831325301203
76,1000,87,1000,80,-7,-8.75
77,100,11,100,12,1,8.333333333333332
78,100,13,100,8,-5,-62.5
79,1000,84,1000,85,1,1.1764705882352942
80,1000,85,1000,86,1,1.1627906976744187
81,1000,85,1000,84,-1,-1.1904761904761905
82,1000,37,1000,37,0,0.0
83,1000,86,1000,84,-2,-2.380952380952381
84,1000,91,1000,83,-8,-9.63855421686747
85,1000,88,1000,83,-5,-6.024096385542169
86,1000,92,1000,87,-5,-5.747126436781609
87,1000,86,1000,130,44,33.84615384615385
88,1000,88,1000,83,-5,-6.024096385542169
89,1000,44,1000,42,-2,-4.761904761904762
90,1000,88,1000,85,-3,-3.5294117647058822
91,1000,86,1000,104,18,17.307692307692307
92,1000,85,1000,117,32,27.350427350427353
93,1000,89,1000,117,28,23.931623931623932
94,1000,87,1000,104,17,16.346153846153847
95,1000,88,1000,115,27,23.47826086956522
96,1000,147,1000,111,-36,-32.432432432432435
97,1,7,1,9,2,22.22222222222222
98,1,7,1,7,0,0.0
99,1,6,1,6,0,0.0
100,1000,85,1000,108,23,21.296296296296298
101,1000,91,1000,105,14,13.333333333333334
102,1000,43,1000,52,9,17.307692307692307
103,1000,89,1000,114,25,21.929824561403507
104,1000,92,1000,113,21,18.58407079646018
105,1000,90,1000,116,26,22.413793103448278
106,1000,94,1000,98,4,4.081632653061225
107,100,14,100,15,1,6.666666666666667
108,1000,92,1000,84,-8,-9.523809523809524
109,1000,37,1000,39,2,5.128205128205128
110,100,13,100,11,-2,-18.181818181818183
111,1000,90,1000,81,-9,-11.11111111111111
112,1000,47,1000,44,-3,-6.8181818181818175
113,1000,110,1000,82,-28,-34.146341463414636
114,1000,110,1000,82,-28,-34.146341463414636
115,1000,49,1000,37,-12,-32.432432432432435
116,1000,59,1000,45,-14,-31.11111111111111
117,100,17,100,11,-6,-54.54545454545454
118,1000,124,1000,83,-41,-49.39759036144578
119,1000,50,1000,40,-10,-25.0
120,1000,63,1000,43,-20,-46.51162790697674
121,100,15,100,11,-4,-36.36363636363637
122,1000,128,1000,83,-45,-54.21686746987952
