query_id,documents_returned_x,exec_time_shards,documents_returned_y,exec_time_no_shards,diff_ms,pct_impr
1,1000,66,1000,65,-1,-1.5384615384615385
2,100,225,100,706,481,68.13031161473087
3,1000,38,1000,38,0,0.0
4,250000,136,250000,94,-42,-44.680851063829785
5,10,7,10,7,0,0.0
6,10,6,10,4,-2,-50.0
7,1000,43,1000,38,-5,-13.157894736842104
8,5,6,5,6,0,0.0
9,1000,46,1000,44,-2,-4.545454545454546
10,100,7,100,4,-3,-75.0
11,1000,34,1000,29,-5,-17.24137931034483
12,1000,37,1000,28,-9,-32.142857142857146
13,100,9,100,7,-2,-28.57142857142857
14,1000,37,1000,28,-9,-32.142857142857146
15,1000,46,1000,35,-11,-31.428571428571427
16,1000,42,1000,32,-10,-31.25
17,1000,98,1000,75,-23,-30.666666666666664
18,1000,39,1000,30,-9,-30.0
19,1000,91,1000,72,-19,-26.38888888888889
20,1000,46,1000,39,-7,-17.94871794871795
21,1000,87,1000,73,-14,-19.17808219178082
22,1000,87,1000,76,-11,-14.473684210526317
23,1000,46,1000,35,-11,-31.428571428571427
24,1000,91,1000,73,-18,-24.65753424657534
25,1000,47,1000,30,-17,-56.666666666666664
26,1000,42,1000,36,-6,-16.666666666666664
27,1000,89,1000,72,-17,-23.61111111111111
28,1000,50,1000,47,-3,-6.382978723404255
29,1000,87,1000,67,-20,-29.850746268656714
30,1000,87,1000,70,-17,-24.285714285714285
31,1000,88,1000,72,-16,-22.22222222222222
32,1000,187,1000,108,-79,-73.14814814814815
33,1000,43,1000,40,-3,-7.5
34,1000,45,1000,35,-10,-28.57142857142857
35,100,8,100,7,-1,-14.285714285714285
36,1000,82,1000,66,-16,-24.242424242424242
37,1000,83,1000,72,-11,-15.277777777777779
38,1000,33,1000,30,-3,-10.0
39,1000,82,1000,79,-3,-3.79746835443038
40,1000,37,1000,39,2,5.128205128205128
41,1000,80,1000,106,26,24.528301886792452
42,1000,79,1000,75,-4,-5.333333333333334
43,20,7,20,6,-1,-16.666666666666664
44,1000,81,1000,72,-9,-12.5
45,1000,90,1000,72,-18,-25.0
46,1000,49,1000,43,-6,-13.953488372093023
47,1000,84,1000,67,-17,-25.37313432835821
48,1000,84,1000,67,-17,-25.37313432835821
49,1000,90,1000,70,-20,-28.57142857142857
50,1000,82,1000,74,-8,-10.81081081081081
51,1000,84,1000,68,-16,-23.52941176470588
52,1000,81,1000,65,-16,-24.615384615384617
53,1000,87,1000,67,-20,-29.850746268656714
54,1000,83,1000,69,-14,-20.28985507246377
55,1000,43,1000,35,-8,-22.857142857142858
56,1000,42,1000,34,-8,-23.52941176470588
57,1000,40,1000,35,-5,-14.285714285714285
58,1000,84,1000,70,-14,-20.0
59,1000,42,1000,30,-12,-40.0
60,1000,87,1000,70,-17,-24.285714285714285
61,1000,84,1000,72,-12,-16.666666666666664
62,100,9,100,7,-2,-28.57142857142857
63,1000,81,1000,65,-16,-24.615384615384617
64,1000,35,1000,26,-9,-34.61538461538461
